address	value	formula
A1	Modèle C1b	
B1	               Feuille de calcul des mélanges de remblai en pâte au laboratoire en fixant	
A2	Juillet 2005	
B2	              le pourcentage solide massique (Cwm%) et la saturation (Sr) du mélange final	
A3	Laboratoire URSTM	
D4	  Paramètres d'entrée pour le résidu	
H4	   Paramètres d'entrée du mélange de remblai	
A5	Nom du résidu:	
B5	BMS	
E5	masse vol des grains de résidu rs 	
F5	4.5	
I5	%Solide RMPC Cwm%	
J5	78	
A6	Date du mélange:	
B6	38545	
E6	Teneur en eau résidu w%	
F6	25	
I6	w% initiale RMPC	
J6	0.282051282051282	=(100/J5)-1
A7	Opérateur :	
E7	%Solide Cw-r%	
F7	80	=(100/(100+F6))*100
I7	Degré de saturation Sr (%)	
J7	100	
K7	%	
I8	Porosité initiale n0 (moy)	
J8	0.557406887111042	=J9/(1+J9)
A9	Section moule	
B9	80.5155835945415	=PI()*10.125^2/4
C9	cm^2 (pd^2/4)	
I9	Indice des vides ei (moy)	
J9	1.25941156985624	=AVERAGE(J20:J22)
A10	Hauteur moule	
B10	20.5	
C10	cm	
A11	Volume moule	
B11	1650.5694636881	=B9*B10
C11	cm^3	
H11	   Paramètres d'entrée pour le liant (ou ciment)	
A12	Nombre moules	
B12	49.33045	
H12	Gs ciment CP10	
I12	Gs ciment CP50	
J12	Gs Fly ash (cendres)	
K12	Gs slag(scories)	
D13	Estimation des masses sèches	
H13	3.1543	
I13	3.1887	
J13	2.6114	
K13	2.8426	
D14	M_rejet sec (g)	
E14	ciment CP10	=H16
F14	slag(scories)	=H17
C15	Recette n°1	=A45
D15	163590.228477843	=$B$12*(($F$5*$B$11)/(1+J20))
E15	1472.31205630059	=(0.01*C22*D15)*(0.01*$I$16)
F15	5889.24822520236	=(0.01*C22*D15)*(0.01*$I$17)
I15	Proportion(%)	
J15	Gs liants	
C16	Recette n°2	=A46
D16	161466.612284731	=$B$12*(($F$5*$B$11)/(1+J21))
E16	0	=(0.01*D22*D16)*(0.01*$I$16)
F16	0	=(0.01*D22*D16)*(0.01*$I$17)
H16	ciment CP10	
I16	20	
J16	3.1543	=H13
C17	Recette n°3	=A47
D17	161466.612284731	=$B$12*(($F$5*$B$11)/(1+J22))
E17	0	=(0.01*E22*D17)*(0.01*$I$16)
F17	0	=(0.01*E22*D17)*(0.01*$I$17)
H17	slag(scories)	
I17	80	=100-I16
J17	2.8426	=K13
D19	Calcul des recettes de mélange avec le résidu :	
E19	BMS	=B5
F19	Modèle C1	
I19	%liant mélange	
J19	e_init calculé	
K19	w% final 	
A20	0	=B7
B20	Opérateur	
D20	Nombre de moule(s) :	
E20	49.33045	=B12
F20	38545	=B6
H20	Recette n°1	
I20	4.5	
J20	1.23977317110718	=(D45/(0.01*$J$7))*(1/(0.01*$J$5)-1)
K20	0.284619663438425	=D53/C53
C21	Recette n°1	=A45
D21	Recette n°2	=A46
E21	Recette n°3	=A47
H21	Recette n°2	
I21	0	
J21	1.26923076923077	=(D46/(0.01*$J$7))*(1/(0.01*$J$5)-1)
K21	0.282051282051282	=D54/C54
B22	%liant massique, Bw%	
C22	4.5	=I20
D22	0	=I21
E22	0	=I22
F22	wt%	
H22	Recette n°3	
I22	0	
J22	1.26923076923077	=(D47/(0.01*$J$7))*(1/(0.01*$J$5)-1)
K22	0.282051282051282	=D55/C55
B23	%liant volumique, Bv%	
C23	6.98296952672886	=C22*($F$5/$D$48)
D23	0	=D22*($F$5/$D$48)
E23	0	=E22*($F$5/$D$48)
F23	v%	
I23	0	
B24	Masse de résidu humide =	
C24	204487.785597304	=D15/(0.01*$F$7)
D24	201833.265355914	=D16/(0.01*$F$7)
E24	201833.265355914	=D17/(0.01*$F$7)
F24	g	
B25	Masse eau totale nécessaire	
C25	48217.1711885336	=SUM(D15:F15)*((100/$J$5)-1)
D25	45541.8650033858	=SUM(D16:F16)*((100/$J$5)-1)
E25	45541.8650033858	=SUM(D17:F17)*((100/$J$5)-1)
F25	g	
K25	Paramètres géotechniques du remblai en pâte fabriqué       	
B26	Masse d'eau à rajouter =	
C26	7319.61406907276	=C25-(C24-D15)
D26	5175.21193220295	=D25-(D24-D16)
E26	5175.21193220295	=E25-(E24-D17)
F26	g	
G26	Liant Bw% final	
H26	%solide Cw-m	
I26	%solide Cv-m	
J26	E/C	
K26	Sr final calculé	
