address	value	formula
A1	Modèle C1	
B1	               Feuille de calcul des mélanges de remblai en pâte au laboratoire en fixant	
A2	Mars 2009	
B2	              le pourcentage solide massique (Cwm%) et la saturation (Sr) du mélange final	
A3	Travaux Pratiques GNM1002	
A4	  Paramètres d'entrée moule(s)	
D4	  Paramètres d'entrée pour les résidus	
H4	   Paramètres d'entrée du mélange de remblai en pâte	
A5	Nom du résidu:	
E5	mass. vol grains résidu rs 	
F5	3.4	
I5	%Solide du Remblai Cw-m%	
J5	78	
K5	vérification	
Q5	     Estimation du Gs du remblai (rejet + liant)	
A6	Date du mélange:	
B6	19 mars 2009	
E6	Teneur en eau résidu w%	
F6	23.8	
I6	w% initiale du RMPC	
J6	0.282051282051282	=(100/J5)-1
K6	0.282051282051282	=(0.01*J7/AVERAGE(E11:G11))*(AVERAGE(E11:G11)/(0.01*J5*K9)-1)
Q6	M_rejet (fictif)	
R6	2780.855	
S6	g	
A7	Opérateur :	
E7	%Solide Cw-r%	
F7	80.7754442649435	=(100/(100+F6))*100
I7	Degré de saturation Sr (%)	
J7	100	
R7	M_solide RP(g)	
S7	V_solide(cm^3)	
T7	rs RMCP calculé	
U7	M_sol(corrigé)	
A8	Diamètre moule	
B8	10.125	
C8	cm	
I8	Porosité initiale n0 (moy)	
J8	0.487677302872299	=J9/(1+J9)
Q8	Recette n°1	=H20
R8	2919.89775	=$R$6*(1+I20/100)
S8	863.912332583392	=($R$6/$F$5)+((R8-$R$6)*(0.01*$I$16)/$J$16)+((R8-$R$6)*(0.01*$I$17)/$J$17)
T8	3.37985422811191	=R8/S8
U8	2919.89775	=$R$6*(1+G37)
A9	Section moule	
B9	80.5155835945415	=PI()*B8^2/4
C9	cm^2 (pd^2/4)	
D9	Gs_liant	
E9	3.02176174139279	=1/((0.01*I16/J16)+(0.01*I17/J17))
I9	Indice des vides e0 (moy)	
J9	0.951894783515206	=AVERAGE(E12:G12)
K9	2.2167150130559	=1+(AVERAGE(E11:G11)-1)*(1-J8)
Q9	Recette n°2	=H21
R9	2947.7063	=$R$6*(1+I21/100)
S9	873.115093217717	=($R$6/$F$5)+((R9-$R$6)*(0.01*$I$16)/$J$16)+((R9-$R$6)*(0.01*$I$17)/$J$17)
T9	3.37607988098881	=R9/S9
U9	2947.7063	=$R$6*(1+G38)
A10	Hauteur moule	
B10	20.5	
C10	cm	
E10	Recette 1	
F10	Recette 2	
G10	Recette 3	
Q10	Recette n°3	=H22
R10	3003.3234	=$R$6*(1+I22/100)
S10	891.520614486368	=($R$6/$F$5)+((R10-$R$6)*(0.01*$I$16)/$J$16)+((R10-$R$6)*(0.01*$I$17)/$J$17)
T10	3.36876495192465	=R10/S10
U10	3003.3234	=$R$6*(1+G39)
A11	Volume moule	
B11	1650.5694636881	=B9*B10
C11	cm^3	
D11	Gs_remblai	
E11	3.37985422811191	=(1+0.01*I20)/(1/$F$5+(0.01*I20/$E$9))
F11	3.37607988098881	=(1+0.01*I21)/(1/$F$5+(0.01*I21/$E$9))
G11	3.36876495192465	=(1+0.01*I22)/(1/$F$5+(0.01*I22/$E$9))
H11	   Paramètres d'entrée pour le liant (ou ciment)	
Q11	Liant	
R11	10055.7286999973	=(E15+F15)
S11	3327.77020843556	=(E15/J16)+(F15/J17)
T11	3.02176174139279	=(E15+F15)/(E15/J16+F15/J17)
A12	Nombre moules	
B12	70	
D12	e0_remblai	
E12	0.953292218185412	=($J$6*E11)/(0.01*$J$7)
F12	0.952227658740433	=($J$6*F11)/(0.01*$J$7)
G12	0.950164473619773	=($J$6*G11)/(0.01*$J$7)
H12	Gs ciment CP10	
I12	Gs ciment CP50	
J12	Gs Fly ash (cendres)	
K12	Gs slag(scories)	
D13	Estimation des masses sèches	
H13	3.1543	
I13	3.1887	
J13	2.6114	
K13	2.8426	
D14	M_rejet sec (g)	
E14	ciment CP10	=H16
F14	Laitier	=H17
H14	Mélange binaire des ciments	
M14	Calcul des masses du remblai en pâte	
A15	Facteur sécurité	
B15	1	
C15	Recette n°1	=Q8
D15	201114.573999946	=$B$12*($F$5*$B$11)/(1+E12)*$B$15
E15	6033.43721999837	=(0.01*C22*D15)*(0.01*$I$16)
F15	4022.29147999892	=(0.01*C22*D15)*(0.01*$I$17)
I15	Proportion(%)	
J15	Gs liants	
N15	M_tot rejet sec (g)	
O15	M_solide (g)	
P15	M_eau (g)	
Q15	M_remblai (g)	
C16	Recette n°2	=Q9
D16	201224.242776697	=$B$12*($F$5*$B$11)/(1+F12)*$B$15
E16	7244.0727399611	=(0.01*D22*D16)*(0.01*$I$16)
F16	4829.38182664073	=(0.01*D22*D16)*(0.01*$I$17)
G16	1733.98309589721	=B11/J9
H16	ciment CP10	
I16	60	
J16	3.1543	=H13
M16	Recette n°1	=C15
N16	201114.573999946	=D15+(C31*0.01*$F$7)+C32
O16	211170.302699943	=N16+C27
P16	60060.8546076763	=C25+C30+C31*($F$6/(100+$F$6))
Q16	271231.157307619	=O16+P16
C17	Recette n°3	=Q10
D17	89919.1274148786	=$B$12*($F$5*$B$11)/(1+G11)*$B$15
E17	4316.11811591417	=(0.01*E22*D17)*(0.01*$I$16)
F17	2877.41207727611	=(0.01*E22*D17)*(0.01*$I$17)
G17	1733.98309589721	=B15*G16
H17	Laitier	
I17	40	=100-I16
J17	2.8426	=K13
M17	Recette n°2	=C16
N17	201224.242776697	=D16+(D31*0.01*$F$7)+D32
O17	213297.697343299	=N17+D27
P17	60160.8889942639	=D25+D30+D31*($F$6/(100+$F$6))
Q17	273458.586337563	=O17+P17
G18	5895.54252605052	=F5*G16
M18	Recette n°3	=C17
N18	89919.1274148786	=D17+(E31*0.01*$F$7)+E32
O18	97112.6576080688	=N18+E27
P18	27515.749581763	=E25+E30+E31*($F$6/(100+$F$6))
Q18	124628.407189832	=O18+P18
D19	Calcul des recettes de mélange avec le résidu :	
E19	0	=B5
F19	Modèle C1	
I19	%Liant initial	
J19	e_init calculé	
K19	w% final 	
A20	0	=B7
B20	Opérateur	
D20	Nombre de moule(s) :	
E20	70	=B12
F20	19 mars 2009	=B6
H20	Recette n°1	
I20	5	
J20	0.953292218185411	=(T8/(0.01*$J$7))*(1/(0.01*$J$5)-1)
K20	0.284419039229291	=P16/O16
M20	Calcul des volumes du remblai en pâte	
C21	Recette n°1	=Q8
D21	Recette n°2	=Q9
E21	Recette n°3	=Q10
H21	Recette n°2	
I21	6	
J21	0.952227658740432	=(T9/(0.01*$J$7))*(1/(0.01*$J$5)-1)
K21	0.282051282051282	=P17/O17
N21	V_rejet(cm^3)	
O21	V_liant (cm^3)	
P21	V_vides(cm^3)	
Q21	V_eau (cm^3)	
R21	V_air (cm^3)	
B22	%liant massique, Bw%	
C22	5	=I20
D22	6	=I21
E22	8	=I22
F22	wt%	
H22	Recette n°3	
I22	8	
J22	0.950164473619772	=(T10/(0.01*$J$7))*(1/(0.01*$J$5)-1)
K22	0.28333844690784	=P18/O18
M22	Recette n°1	=M16
N22	59151.3452941017	=N16/$F$5
O22	3327.77020843556	=(E15+F15)/$T$11
P22	59560.8546076762	=J20*(N22+O22)
Q22	60060.8546076763	=P16
R22	-500.000000000036	=P22-Q22
B23	% liant volumique, Bv%	
C23	5.6258571836191	=C22*($F$5/$T$11)
D23	6.75102862034292	=D22*($F$5/$T$11)
E23	9.00137149379056	=E22*($F$5/$T$11)
F23	v%	
M23	Recette n°2	=M17
N23	59183.6008166757	=N17/$F$5
O23	3995.50182968328	=(E16+F16)/$T$11
P23	60160.8889942638	=J21*(N23+O23)
Q23	60160.8889942639	=P17
R23	0	=P23-Q23
B24	Masse de résidu humide =	
C24	248979.842611933	=D15/(0.01*$F$7)
D24	249115.612557551	=D16/(0.01*$F$7)
E24	111319.87973962	=D17/(0.01*$F$7)
F24	g	
M24	Recette n°3	=M18
N24	26446.8021808466	=N18/$F$5
O24	2380.57491252591	=(E17+F17)/$T$11
P24	27390.749581763	=J22*(N24+O24)
